title,time,fake or real,topic
هذا المقطع مقتبس من لعبة محاكاة إلكترونية، ولا يظهر تحطم طائرة بعد مشاركتها في قصف صنعاء مؤخرًا,19 يناير 2024,fake,لعبة
هذه الصورة تظهر لقاء جمع البرهان ورئيسي في الرياض عام 2023 وليس في إيران حديثًا,18 يناير 2024,fake,نفسي
هذا المقطع يعود لاحتراق سفينة قبالة ساحل سريلانكا عام 2021، وليس لسفينة أمريكية استهدفها الحوثيين مؤخرًا,17 يناير 2024,fake,برلمان
هذا المقطع لا يصور استهداف الحوثيين لسفينة أمريكية في البحر الأحمر، بل مقتبس من لعبة فيديو,16 يناير 2024,fake,لعبة
هذه المشاهد تعود لعام 2021، ولا تظهر ردًّا من الحوثيين على الضربات الأمريكية والبريطانية التي استهدفتهم مؤخرًا,14 يناير 2024,fake,علاج
هذه المشاهد تعود لنوفمبر الماضي وليست لإطلاق الحوثيين طائرات مسيّرة نحو أهداف بريطانية أمريكية مؤخّرًا,13 يناير 2024,fake,فريق
هذا المقطع متداول منذ أشهر لانفجار محطة غاز، وليس لانفجارات في صنعاء عقب الضربات الأمريكية والبريطانية,13 يناير 2024,fake,رئيس
هذه المشاهد تعود لاحتراق سفينة أمريكية في الولايات المتحدة عام 2020 وليس في البحر الأحمر حديثًا,12 يناير 2024,fake,نفسي
هذه الصورة مركبة والصورة الأصلية تظهر مسيّرة بحرية بدون ربّان تابعة للبحرية الأوكرانية,11 يناير 2024,fake,طب
هذه المشاهد متداولة منذ سنوات لتدريبات عسكرية وليست لتجمع قوة دولية كبيرة في البحر الاحمر مؤخرًا,8 يناير 2024,fake,نفسي
صورة لأوباما مع ابنة أخته يتم تداولها بشكل مضلل مع صورة أخرى لطفلة عثر عليها مقتولة في إندونيسيا,7 يناير 2024,fake,جائزة
هذه المشاهد من مسلسل سيمبسون لا تظهر تنبؤ السلسلة بزيارة ستيفن هوكينغ لجزيرة إبستين,6 يناير 2024,fake,رئيس
هذا المقطع ليس لاستهداف الحوثيين لناقلة سيارات متجهة لميناء إيلات، بل لاحتراق مركب بالقرب من سواحل ظفار,5 يناير 2024,fake,برلمان
هذه الصورة تعود لغرق مركب مهاجرين في ليبيا عام 2016 وليس لمروحية أمريكية تحلق فوق زوارق الحوثيين التي استهدفت مؤخرًا,3 يناير 2024,fake,وباء
هذا المقطع ليس من الزلزال الذي ضرب اليابان حديثًا بل يعود لزلزال اليابان عام 2011,2 يناير 2024,fake,رئيس
هذا المقطع يظهر تدريبات للقوات الأمريكية عام 2017 وليس من استهداف زوارق الحوثيين في البحر الأحمر حديثًا,1 يناير 2024,fake,مستشفى
هذا المقطع يظهر احتراق مركب قبالة سواحل سلطنة عُمان، وليس لاستهداف الحوثيين لناقلة نفط بريطانية,31 ديسمبر 2023,fake,تنس
هذه الصورة لا تظهر صلاة الجنازة على جندي أمريكي في العراق، بل جنازة جندي أمريكي في نيويورك قتل في أفغانستان عام 2008,30 ديسمبر 2023,fake,رئيس
هذه الصورة متداولة منذ عام 2022 وتعود لإلقاء القبض على متورطين بأعمال تهريب وقود بعدة محافظات عراقية,29 ديسمبر 2023,fake,نفسي
هذا المقطع يظهر اعتذار استراليا عن استخدام دواء “الثاليدوميد” ولا صحة لاحتواء هذه المنتجات الغذائية على خلايا أجنة مجهضة,28 ديسمبر 2023,fake,صحة
هذه الصورة قديمة وليست للقاء جمع بين محمد حمدان دقلو مع المبعوثة الأمريكية في جيبوتي,27 ديسمبر 2023,fake,كرة القدم
هذا الفيديو يعود لطائرة سقطت في إيران بسبب عطل فني ولا يظهر مسيرة من اليمن سقطت في مصر,26 ديسمبر 2023,fake,رئيس
هذه الصورة ليست لجثث ملقاة في مدينة ود مدني، بل هي إعلان لشركة إتصالات هندية في عام 2009,25 ديسمبر 2023,fake,رئيس
هذا الفيديو ليس لسفينة استهدفها الحوثيون في البحر الأحمر حديثًا، بل يعود لاحتراق سفينة في سريلانكا عام 2021,22 ديسمبر 2023,fake,رئيس
هذا الفيديو متداول منذ عام 2016 ولا يظهر حشود يمنية تتجه نحو البحر الأحمر مؤخرًا,21 ديسمبر 2023,fake,وباء
هذا المقطع ليس لانفجار أنبوب مياه مخصص لإغراق أنفاق غزة، بل لانفجار خط مياه في السعودية عام 2016,20 ديسمبر 2023,fake,رئيس
هذا المقطع متداول منذ يونيو الماضي على أنه من تدريبات للقوات البحرية الأمريكية وليس للقبض على قناص إسرائيلي في غزة حديثًا,19 ديسمبر 2023,fake,تنس
هذا المقطع يعود لفعالية نظمت في 16 نوفمبر الماضي ولا علاقة لها بالحرب أو بالحملة الإعلانية التي قامت زارا بسحبها مؤخرًا,18 ديسمبر 2023,fake,سياسي
هذا المقطع ليس من استهداف السفينة البلغارية، بل يظهر اشتعال النيران في سفينة الشحن ميرسك هونام عام 2018,17 ديسمبر 2023,fake,ابتكار
هذا الفيديو ليس من استهداف السفن في البحر الأحمر بل يظهر تدريبات للبحرية النرويجية عام 2013,16 ديسمبر 2023,fake,رئيس
هذا المقطع يظهر احتراق سفينة في الشارقة عام 2019، وليس بارجة إسرائيلية استهدفها الحوثيون في البحر الأحمر,15 ديسمبر 2023,fake,دواء
هذه الصورة التي قيل إنها لمنشورات من فصائل عراقية تهدد بمهاجمة مجموعات تابعة لإيران في محافظة نينوى العراقية مفبركة,14 ديسمبر 2023,fake,فريق
هذا المقطع متداول منذ عام 2016 على الأقل، ولا يبين لحظة استهداف الحوثي السفينة النرويجية مؤخرًا,13 ديسمبر 2023,fake,شبكة
هذا الفيديو يظهر تفجير نفق في سوريا عام 2014 وليس لانفجار في غزة إثر القصف الإسرائيلي,12 ديسمبر 2023,fake,دواء
هذا المقطع متداول منذ عام 2016 في سوريا وليس من الصواريخ التي أطلقت حديثًا من جنوب لبنان باتجاه الجيش الإسرائيلي,11 ديسمبر 2023,fake,تنس
هذا الفيديو ليس من استهداف الآليات الإسرائيلية في قطاع غزة حديثًا بل متداول منذ عام 2014,10 ديسمبر 2023,fake,رئيس
هذه الصورة ليست لانفجار في ميناء إيلات مؤخراً، بل تظهر حرائق في ميناء إسكندرون عقب الزلزال الذي ضرب تركيا في فبراير 2023,9 ديسمبر 2023,fake,كرة القدم
الترجمة المرفقة بهذا المقطع مفبركة، ولم يُعلن عن عودة حزب البعث للعمل في العراق في هذا الخطاب,8 ديسمبر 2023,fake,دواء
هذه الصورة مفبركة وليست من السفينة التي أعلن الحوثيون استهدافها مؤخرًا بل من مناورة إيرانية عام 2015,7 ديسمبر 2023,fake,فريق
هذا الفيديو متداول منذ أغسطس 2015 لتدريبات عسكرية وليس للسفن التي اعلن الحوثيين استهدافهم مؤخرًا,6 ديسمبر 2023,fake,ذكاء اصطناعي
هذا الفيديو يعود لاحتراق سفينة قرب سواحل سريلانكا عام 2021 وليس للسفينة التي أعلن الحوثيون استهدافها مؤخرًا,5 ديسمبر 2023,fake,تغذية
هذا الفيديو لا يظهر رهينة إسرائيلية خرجت ضمن صفقة التبادل مع حماس، بل يعود لصانعة محتوى ألمانية,4 ديسمبر 2023,fake,رئيس
الترجمة المرفقة بهذا الفيديو مفبركة، ولم يعلن بنيامين نتنياهو الحرب على اليمن في هذا الخطاب,3 ديسمبر 2023,fake,مستشفى
هذا الفيديو يظهر الة حفر الانفاق في مناجم أستراليا عام 2019 وليس من الأنفاق التي تمتلكها حماس في قطاع غزة,2 ديسمبر 2023,fake,نفسي
هذا المقطع مركب ولا يظهر رئيس الوفد اليمني يخاطب بشار الأسد في القمة العربية الإسلامية الطارئة في الرياض,1 ديسمبر 2023,fake,رئيس
هذا المقطع متداول منذ عام 2020، ويبين هبوطًا اضطراريًا لطائرة استطلاع ليبية على الحدود الليبية النيجيرية,30 نوفمبر 2023,fake,سياسي
هذا المقطع يظهر نائب أمريكي يعترض على مشروع قانون التعاقد عام 2012 وليس على ما يحدث في غزة,29 نوفمبر 2023,fake,وباء
هذه الترجمة مفبركة، والمقطع قديم يتحدث فيه الرئيس الأمريكي عن فلاديمير بوتين وليس عن اليمن,28 نوفمبر 2023,fake,حكومة
هذه المشاهد متداولة منذ سنوات وتعود لأحداث مختلفة ولا تبين ظواهر غريبة حدثت مؤخرًا,27 نوفمبر 2023,fake,علاج
هذا الفيديو يظهر سفينة تابعة لشركة هيونداي وليس للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون مؤخرًا في اليمن,26 نوفمبر 2023,fake,برلمان
هذا الفيديو يظهر احتفال جماهير نادي ساو باولو البرازيلي، ولا يبين رفع علم اليمن في البرازيل احتفالًا باستهداف إيلات,25 نوفمبر 2023,fake,نفسي
هذه الصورة قديمة ومتداولة منذ عام 2020 لسفينة شحن مركبات وليست للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون مؤخرًا,24 نوفمبر 2023,fake,رياضة
هذا الفيديو ليس من المسيرة التضامنية مع غزة في بولندا بل متداول منذ 1 أكتوبر لمسيرة احتجاجية معارضة,23 نوفمبر 2023,fake,ابتكار
هذا الفيديو قديم ولا يظهر عودة النائب محمد الحلبوسي لرئاسة مجلس النواب مؤخرًا,22 نوفمبر 2023,fake,حكومة
هذه الصورة قديمة وليست للسفينة “جالاكسي ليدر” التي احتجزها الحوثيون في البحر الأحمر مؤخراً,21 نوفمبر 2023,fake,رياضة
هذا المقطع المتداول قديم ولا يبيّن سقوط بايدن أثناء نزوله من الطائرة في بولندا بل موظفة في البيت الأبيض,20 نوفمبر 2023,fake,سياسة
هذا الفيديو مقتبس من لعبة محاكاة إلكترونية وليس من الدبابات الإسرائيلية التي أعلنت حماس عن تدميرها في غزة,19 نوفمبر 2023,fake,رئيس
هذه الصورة مفبركة، والصورة الحقيقية لا تظهر صورة هتلر داخل مبنى برلمان كوريا الشمالية,17 نوفمبر 2023,fake,رئيس
هذه الصورة من صنع الذكاء الاصطناعي، ولا تظهر جماهير نادي بوكا الأرجنتيني يدمرون مطعم ماكدونالدز,15 نوفمبر 2023,fake,صحة
هذا الفيديو ليس من المسيرة التي استهدفت مدينة إيلات مؤخرًا بل هجوم بطائرة مسيرة في موسكو,12 نوفمبر 2023,fake,رئيس
هذا المقطع مقتبس من لعبة إلكترونية، ولا يبين لحظة تدمير دبابة وقنص جندي إسرائيلي في غزة مؤخرًا,12 نوفمبر 2023,fake,لعبة
هذا الفيديو ليس من المسيرات التضامنية مع أهل غزة التي خرجت في فرنسا بل يعود لتجمع جماهير نادي برازيلي,10 نوفمبر 2023,fake,رئيس
هذا الفيديو يعود لانفجارات في مدينة كييف في أوكرانيا عام 2022 وليس من الصواريخ التي سقطت على تل أبيب مؤخرًا,9 نوفمبر 2023,fake,رئيس
هذا الفيديو لا يبين استهداف سفينة حربية إسرائيلية في البحر الأحمر مؤخرًا وإنما يظهر تدريبات انفجار مصنع كيماوي في الصين,8 نوفمبر 2023,fake,رئيس
هذا الفيديو متداول منذ عام 2014 على الأقل وليس من الصواريخ التي أطلقها حزب الله من جنوب لبنان مؤخرًا,7 نوفمبر 2023,fake,سياسي
هذا المقطع قديم ومتداول منذ عام 2018 ولا يظهر اعتراض السعودية صاروخًا أطلق من اليمن حديثًا,7 نوفمبر 2023,fake,فريق
هذه الصور قديمة ولا تبين خطف ضابط إسرائيلي ودبابات مدمرة على يد مقاتلي حماس في قطاع غزة,6 نوفمبر 2023,fake,كرة القدم
العلم الظاهر في هذه المظاهرة المؤيدة لغزة هو شعار حزب الرفاه الهندي وليس العلم الإيطالي,30 أكتوبر 2023,fake,لعبة
هذا المقطع الذي يظهر الرئيس المصري مرتديًا الزي العسكري يعود لعام 2018 وليس في ظل الحرب الجارية,27 أكتوبر 2023,fake,مدرب
هذا المقطع من الخرطوم – السودان وليس لقصف إسرائيلي على أهالي غزة خلال تعبئتهم مياه للشرب,26 أكتوبر 2023,fake,وباء
هذا المقطع يظهر تمريناً عسكرياً عام 2022 للبحرية الأمريكية، وليس لإصابة بارجة أمريكية بصاروخ حوثي مؤخراً,25 أكتوبر 2023,fake,نفسي
هذا المقطع قديم، ولا يظهر انتشار الجيش المصري على حدود غزة حديثًا,22 أكتوبر 2023,fake,مباراة
هذه الصورة معدلة رقميًا، ولا تظهر أبراجًا في ماليزيا أضيئت بعلم فلسطين مؤخرًا,21 أكتوبر 2023,fake,برلمان
هذا المقطع قديم منذ عام ٢٠٢٢ على الأقل ، ولا يظهر صاروخ يضرب المستشفى المعمداني عن طريق الخطأ,19 أكتوبر 2023,fake,حكومة
هذا المقطع لا يظهر أطفالًا إسرائيليين محتجزين في أقفاص في أعقاب الأحداث الجارية في غزة,19 أكتوبر 2023,fake,رئيس
هذا الصوت مركب، ولا يظهر تلقي طاقم قناة سي أن أن أوامر بالتظاهر أنهم تحت القصف,19 أكتوبر 2023,fake,ذكاء اصطناعي
هذا المقطع الذي قيل إنه يظهر أخطبوطًا في مرآب سيارات في قطر غير حقيقي بل معدل رقميًّا,18 أكتوبر 2023,fake,دواء
هذه الصورة ليست لعملاق في قندهار، وإنما مصممة بالذكاء الاصطناعي,18 أكتوبر 2023,fake,تنس
هذا المقطع ليس للقطار الذي سيربط بين محافظتي كربلاء والنجف في العراق,18 أكتوبر 2023,fake,تنس
هذا الفيديو متداول قبل الحرب بأسابيع ولا يظهر طفلة إسرائيلية اختُطفت هناك,16 أكتوبر 2023,fake,حكومة
هذه المشاهد تعود لإرسال مصر مساعدات إلى غزة في سنوات سابقة وليس حديثًا,15 أكتوبر 2023,fake,كرة القدم
هذا المقطع يصور تدمير دبابة تابعة للجيش الروسي، وليس لتدمير دبابة في غلاف غزة مؤخرًا,15 أكتوبر 2023,fake,كرة القدم
هذه الادعاءات المتداولة حول انقطاع الانترنت وخطورة اللقاحات زائفة,10 أكتوبر 2023,fake,تطبيق
هذا المقطع لا يظهر إطلاق وابل صواريخ من غزة حديثًا، بل متداول منذ عام 2020,10 أكتوبر 2023,fake,رئيس
هذا الخبر غير صحيح، لم يقدم فندق رونالدو المأوى المجاني لضحايا زلزال المغرب مؤخرًا,10 أكتوبر 2023,fake,دواء
هذا المقطع يعود لحريق في الصين عام 2022، وليس لحريق عمارة سكنية في أربيل مؤخرًا,10 أكتوبر 2023,fake,مستشفى
هذه الصورة مفبركة، ولا تظهر إضاءة برج القاهرة بعلم فلسطين,10 أكتوبر 2023,fake,برلمان
هذه المشاهد مقتبسة من لعبة محاكاة عسكرية وليست لإسقاط طائرات في غزة مؤخرًا,9 أكتوبر 2023,fake,لعبة
هذه المشاهد تعود للعبة محاكاة عسكرية ولا تظهر إسقاط مقاتلة حربية في غزة حديثًا,9 أكتوبر 2023,fake,كرة القدم
